complaint_id,complaint_date,market,channel,product_line,root_cause,severity,resolution_days,resolved,escalated_to_regulator,repeat_complaint
C122160,2024-01-01,US,Call,Merchant Services,Billing/charge discrepancy,Low,3.8,True,False,False
C140316,2024-01-01,AU,Call,Digital/App,Fraud/unauthorized charge handling,Medium,14.2,True,False,False
C104800,2024-01-01,UK,Email,Card Services,App/digital platform bug,Low,5.3,True,False,False
C121435,2024-01-01,US,Chat,Merchant Services,Rewards/points not credited,Medium,2.2,True,False,False
C115331,2024-01-01,MX,Chat,Merchant Services,Billing/charge discrepancy,Low,2.8,True,False,False
C121683,2024-01-01,US,Email,Digital/App,Rewards/points not credited,Low,3.4,True,False,False
C127707,2024-01-01,UK,Call,Billing & Statements,Agent miscommunication,Low,3.3,True,False,False
C108354,2024-01-01,CA,Chat,Billing & Statements,Delayed dispute resolution,Low,15.9,True,False,False
C115059,2024-01-01,CA,Call,Billing & Statements,Billing/charge discrepancy,Low,7.5,True,False,False
C132956,2024-01-01,MX,Email,Billing & Statements,Other,Low,2.0,True,False,False
C137890,2024-01-01,UK,Email,Card Services,Rewards/points not credited,Low,7.1,True,False,False
C110318,2024-01-01,US,Chat,Merchant Services,App/digital platform bug,Low,9.9,True,False,False
C135826,2024-01-01,IN,Chat,Travel & Lifestyle,App/digital platform bug,Low,18.1,True,False,False
C114907,2024-01-01,UK,Call,Digital/App,Fraud/unauthorized charge handling,Low,3.3,True,False,False
C100877,2024-01-01,CA,Social,Merchant Services,Billing/charge discrepancy,Medium,4.2,True,False,False
C126422,2024-01-01,MX,Email,Rewards & Membership,Billing/charge discrepancy,Medium,0.3,True,False,False
C110884,2024-01-01,CA,Call,Card Services,Billing/charge discrepancy,Low,6.2,True,False,False
C128678,2024-01-01,MX,Chat,Travel & Lifestyle,Billing/charge discrepancy,Medium,10.1,True,False,False
C128549,2024-01-01,IN,Social,Digital/App,App/digital platform bug,Low,6.2,True,False,False
C149561,2024-01-01,US,Email,Billing & Statements,Billing/charge discrepancy,Medium,1.7,True,False,True
C122885,2024-01-01,AU,Call,Rewards & Membership,Agent miscommunication,Medium,1.9,True,False,False
C149238,2024-01-01,UK,Call,Digital/App,Fraud/unauthorized charge handling,Low,11.4,True,False,False
C104388,2024-01-01,IN,Social,Travel & Lifestyle,Privacy/data handling concern,Low,7.8,True,False,False
C123739,2024-01-01,US,Call,Travel & Lifestyle,App/digital platform bug,Low,18.0,False,False,True
C139047,2024-01-01,US,Chat,Billing & Statements,App/digital platform bug,Low,13.1,False,False,True
C123493,2024-01-01,MX,Call,Digital/App,Billing/charge discrepancy,Low,4.3,True,False,True
C138686,2024-01-01,US,Call,Billing & Statements,Billing/charge discrepancy,Low,1.6,True,False,False
